exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
82,101,vehicle,high,low,774.0,0.8917050691244239,Java_high_Java_low_results.csv
86,43,vehicle,high,low,268.0,0.9241379310344828,Java_high_Java_low_results.csv
86,60,vehicle,high,low,271.0,0.8856209150326797,Java_high_Java_low_results.csv
86,94,vehicle,high,low,242.0,0.8344827586206897,Java_high_Java_low_results.csv
86,37,vehicle,high,low,267.0,0.9206896551724136,Java_high_Java_low_results.csv
86,44,vehicle,high,low,254.0,0.8668941979522184,Java_high_Java_low_results.csv
86,63,vehicle,high,low,264.0,0.9103448275862068,Java_high_Java_low_results.csv
86,21,vehicle,high,low,309.0,0.8728813559322034,Java_high_Java_low_results.csv
86,41,vehicle,high,low,296.0,0.8888888888888888,Java_high_Java_low_results.csv
86,114,vehicle,high,low,252.0,0.8689655172413793,Java_high_Java_low_results.csv
86,13,vehicle,high,low,471.0,0.8532608695652174,Java_high_Java_low_results.csv
86,139,vehicle,high,low,235.0,0.8103448275862069,Java_high_Java_low_results.csv
86,104,vehicle,high,low,261.0,0.9,Java_high_Java_low_results.csv
86,79,vehicle,high,low,271.0,0.8741935483870967,Java_high_Java_low_results.csv
86,99,vehicle,high,low,271.0,0.9155405405405406,Java_high_Java_low_results.csv
86,172,vehicle,high,low,244.0,0.8413793103448276,Java_high_Java_low_results.csv
86,140,vehicle,high,low,257.0,0.8862068965517241,Java_high_Java_low_results.csv
86,164,vehicle,high,low,274.0,0.9448275862068966,Java_high_Java_low_results.csv
86,77,vehicle,high,low,319.0,0.8200514138817481,Java_high_Java_low_results.csv
87,10,vehicle,high,low,206.0,0.8174603174603174,Java_high_Java_low_results.csv
86,124,vehicle,high,low,274.0,0.9448275862068966,Java_high_Java_low_results.csv
86,126,vehicle,high,low,281.0,0.8808777429467085,Java_high_Java_low_results.csv
86,132,vehicle,high,low,281.0,0.9493243243243245,Java_high_Java_low_results.csv
86,64,vehicle,high,low,499.0,0.8429054054054054,Java_high_Java_low_results.csv
86,180,vehicle,high,low,245.0,0.8448275862068966,Java_high_Java_low_results.csv
87,27,vehicle,high,low,225.0,0.8928571428571429,Java_high_Java_low_results.csv
86,200,vehicle,high,low,263.0,0.906896551724138,Java_high_Java_low_results.csv
86,170,vehicle,high,low,287.0,0.8885448916408669,Java_high_Java_low_results.csv
87,29,vehicle,high,low,224.0,0.8888888888888888,Java_high_Java_low_results.csv
87,56,vehicle,high,low,208.0,0.8253968253968254,Java_high_Java_low_results.csv
86,176,vehicle,high,low,334.0,0.8186274509803921,Java_high_Java_low_results.csv
86,182,vehicle,high,low,364.0,0.91,Java_high_Java_low_results.csv
86,183,vehicle,high,low,275.0,0.9482758620689656,Java_high_Java_low_results.csv
87,37,vehicle,high,low,232.0,0.8992248062015504,Java_high_Java_low_results.csv
87,34,vehicle,high,low,213.0,0.8452380952380952,Java_high_Java_low_results.csv
87,31,vehicle,high,low,241.0,0.9128787878787878,Java_high_Java_low_results.csv
87,65,vehicle,high,low,220.0,0.873015873015873,Java_high_Java_low_results.csv
87,35,vehicle,high,low,240.0,0.9056603773584906,Java_high_Java_low_results.csv
86,179,vehicle,high,low,326.0,0.8511749347258486,Java_high_Java_low_results.csv
86,128,vehicle,high,low,398.0,0.8073022312373225,Java_high_Java_low_results.csv
87,78,vehicle,high,low,214.0,0.8492063492063492,Java_high_Java_low_results.csv
87,41,vehicle,high,low,258.0,0.7747747747747747,Java_high_Java_low_results.csv
87,74,vehicle,high,low,213.0,0.8452380952380952,Java_high_Java_low_results.csv
